epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.0375,0.16616,0.9844,1,0.0473,0.000553586,0.000553586,0.000553586
2,35.9665,0.06983,0.99261,1,0.03271,0.0010818,0.0010818,0.0010818
3,51.0089,0.05464,0.98522,1,0.03471,0.00158251,0.00158251,0.00158251
4,65.9318,0.06516,0.97044,1,0.06115,0.00154323,0.00154323,0.00154323
5,80.8346,0.04444,0.99754,1,0.01604,0.00150197,0.00150197,0.00150197
6,95.6329,0.03417,0.99425,1,0.01144,0.00146071,0.00146071,0.00146071
7,110.461,0.00797,1,1,0.00135,0.00141945,0.00141945,0.00141945
8,125.219,0.01939,0.99589,1,0.01071,0.00137819,0.00137819,0.00137819
9,139.826,0.03232,1,1,0.00381,0.00133693,0.00133693,0.00133693
10,154.529,0.02349,0.99918,1,0.00545,0.00129568,0.00129568,0.00129568
11,169.475,0.01654,0.99754,1,0.00378,0.00125442,0.00125442,0.00125442
12,184.241,0.01276,0.99918,1,0.00267,0.00121316,0.00121316,0.00121316
13,199.004,0.00809,0.99836,1,0.00418,0.0011719,0.0011719,0.0011719
14,213.627,0.01468,1,1,0.0016,0.00113064,0.00113064,0.00113064
15,228.405,0.02169,1,1,0.0013,0.00108938,0.00108938,0.00108938
16,243.15,0.0113,1,1,0.00107,0.00104813,0.00104813,0.00104813
17,258.012,0.0162,0.99507,1,0.012,0.00100687,0.00100687,0.00100687
18,272.798,0.01409,1,1,0.00036,0.00096561,0.00096561,0.00096561
19,287.683,0.00873,1,1,0.0005,0.000924352,0.000924352,0.000924352
20,302.497,0.00333,1,1,0.00036,0.000883093,0.000883093,0.000883093
21,317.404,0.01156,1,1,0.00013,0.000841835,0.000841835,0.000841835
22,332.063,0.00777,0.99836,1,0.00371,0.000800577,0.000800577,0.000800577
23,346.971,0.00826,1,1,0.00068,0.000759318,0.000759318,0.000759318
24,361.798,0.00814,1,1,0.00153,0.00071806,0.00071806,0.00071806
25,376.506,0.01094,1,1,0.0007,0.000676802,0.000676802,0.000676802
26,391.17,0.00909,0.99836,1,0.003,0.000635544,0.000635544,0.000635544
27,405.987,0.00271,1,1,0.0001,0.000594286,0.000594286,0.000594286
28,420.772,0.005,1,1,0.00022,0.000553027,0.000553027,0.000553027
29,435.488,0.00665,1,1,0.00019,0.000511769,0.000511769,0.000511769
30,450.048,0.00123,1,1,0.00027,0.000470511,0.000470511,0.000470511
31,465.338,0.00168,1,1,9e-05,0.000429253,0.000429253,0.000429253
32,480.343,0.01885,1,1,0.00037,0.000387994,0.000387994,0.000387994
33,495.258,0.00669,1,1,4e-05,0.000346736,0.000346736,0.000346736
34,510.184,0.00355,1,1,2e-05,0.000305478,0.000305478,0.000305478
35,524.926,0.00231,1,1,5e-05,0.00026422,0.00026422,0.00026422
36,539.731,0.00285,1,1,4e-05,0.000222961,0.000222961,0.000222961
37,554.509,0.00152,1,1,7e-05,0.000181703,0.000181703,0.000181703
38,569.236,0.00161,1,1,3e-05,0.000140445,0.000140445,0.000140445
39,584.034,0.00193,1,1,2e-05,9.91865e-05,9.91865e-05,9.91865e-05
40,598.713,0.00196,1,1,2e-05,5.79283e-05,5.79283e-05,5.79283e-05
